#word,meaning,option1,option2,option3
鼓状物,drum,rum,bum,gum
桶,barrel,barren,barter,barrow
手册,manual,manful,maul,annual
投降,surrender,suspender,to talk sb. over,tame
墨水,ink,rink,mink,one
分类,classification,research,composite,to develop
严守时刻,punctual,punctuate,confession,timely
信息,message,massage,passage,rumor
票据,bill,billow,mill,spill
释放,release,lease,relapse,rehearse
谋杀,murder,border,rudder,hurdler
使发怒,anger,angel,banker,danger
马铃薯,potato,motto,tomato,rotate
竞争,compete,compere,comet,complete
爬,crawl,scrawl,oral,crap
附加,additional,addition,encryption,concentration
胃,stomach,evade,corollary,sunflower
快,speed,speedy,seed,spend
揩,wipe,wide,Eire,vine
销售额,sale,gale,tale,cake
机械,machine,marine,machinery,omnipotent
代名词,pronoun,profound,propound,proton
男子气概,manly,many,male,ally
调整,regulate,peculate,regular,emulate
难堪,unbearable,unreadable,willing to help but unable to do so,be forced to do something desperate
延伸,continue,continual,confine,convince
想要,wish,wise,Jewish,witch
伙伴,fellow,below,follow,fallow
性质,nature,future,mature,satire
口,mouth,month,touch,rough
引人注目,dramatic,dramatist,dramatics,dogmatic
原始,primitive,reliable,foreign,nature
简陋,crude,cruise,truce,ruse
正常,normal,formal,nomad,dorsal
准备,prepare,preface,presage,raise 
小屋,hut,hub,hit,bus
学院,academic,academy,colleges and universities,middle school
聪明,clever,lever,level,never
暴露,exposure,expose,fall through and stand exposed,fall apart
高处,height,night,weight,alight
总部,headquarters,band,general headquarters,NATO
物质,material,maternal,lateral,paternal
快乐,happiness,prostrate oneself,jubilation,kowtow
鞍子,saddle,paddle,dawdle,cuddle
总是,forever,former,forester,foresee
运算,operation,oration,operative,moderation
令人不愉快的,awful,lawful,artful,earful
尘,dirt,lint,dirty,dark
孤独,lonely,lowly,lovely,finely
污染,pollute,polite,collate,to influence
车间,workshop,bookshop,worship,commune
有影响的,effective,elective,defective,query
传统,traditional,usual practice,baptism,opening ceremony
艰难,hardship,warship,impoverished,cry piteously for food
询问,inquiry,injury,inquire,enquiry
听,listen,mitten,linen,lighten
中立,neutral,ventral,central,neutron
竿,rod,jot,crowd,grow
退却,retreat,retract,regret,recreate
明显,obvious,envious,odious,devious
增长量,growth,broth,grow,growl
适宜,suitable,stable,sizable,equitable
相同,parallel,parable,be classified as,to be united in action
汽,vapour,vapor,valour,amour
羊肉,mutton,button,mutter,mitten
稻草,straw,steal,strap,strew
祝酒词,toast,coast,boast,blast
职业,professional,nuclear engineering,engineering,task
售票员,conductor,conduct,conduction,inspector
物理学,physics,physicist,physical,geometry
狂怒,furious,serious,curious,spurious
泼,splash,slash,smash,slush
一出戏剧,drama,gram,tramp,drake
盖,lid,rip,pi,lint
重复,repeatedly,went on to,on the eve of,while 
建议,hint,bin,hind,pint
肯定,certainty,certainly,certain,certainly
疲劳,fatigue,to excite,hold one's breath,to gasp for breath
硬外皮,crust,craft,crusty,coast
令人兴奋,exciting,unlock,puny,flounder
拼死,desperate,temperate,desperado,jointly 
笨拙,clumsy,flimsy,clump,clammy
猜疑,jealous,zealous,jealousy,firm belief
费力,painful,gainful,sinful,manful
对立物,opposite,oppose,composite,mixture
小麦,wheat,feat,meat,wreath
显著,splendid,vague,dubious,public
时机,occasion,occasional,at the same time,timewise
抱负,ambition,ambitious,audition,addition
金属,metal,motel,mural,mental
王的,royal,roan,focal,moral
现象,phenomenon,phenomenal,spectacle,vista
无价值的,worthless,toothless,facilitate,no good
起源,derive,decide,deprive,drove
扭弯,twist,twit,mist,wit
加油站,garage,garbage,mirage,grape
消极,passive,massive,missive,pensive
向…保证,assure,assume,pasture,astute
民族,nation,elation,notion,oration
艺术家,artist,artiste,wrist,arise
场所,site,sprite,six,rice
吸引力,attraction,attrition,traction,attractive
废墟,remains,fountain,shower,raindrop
铭刻,brand,blend,braid,bland
碰撞,crash,crush,crass,graph
语法书,grammar,gramme,wilful,jaundice
复杂,elaborate,evaporate,overlapping,discord
纪念碑,monument,emolument,moment,document
庆祝,celebrate,calibrate,celibate,celebrity
第九,ninth,twentieth,tenth,millions
一分,portion,potion,lotion,pontoon
祈祷,prayer,payer,drawer,layer
走向,tend,tense,blend,ten
打翻,upset,user,pet,outset
仪器,instrument,thermograph,type page,plank
键盘,keyboard,seaboard,telephone dial,cup
家属,folk,fog,milk,fowl
社团,corporation,financial group,delegation,fleet 
成熟,mature,armature,manure,nature
使泄气,discourage,discourse,cast,tiny
未加工的,raw,fag,way,rap
缘故,sake,poke,spike,take
单一,single,singe,jingle,angle
补钉,patch,watch,batch,pitch
多样化,variety,varsity,verity,vanity
变态,abnormal,normal,geography,morbid or abnormal state
吐唾沫,spit,spurt,sprig,spout
坑道,tunnel,runnel,tonne,tanner
穿过,penetrate,perpetrate,venerate,generate
昏暗,dim,dice,dam,hit
小包,packet,racket,pack,picket
孤儿,orphan,organ,widow,creditor
包括,include,exclude,seclude,conclude
搭挡,partner,panther,farther,patter
千米,kilometer,gram,square ,ounce
铁,iron,upon,icon,pro
胆怯者,coward,card,towards,cower
一般,general,venereal,federal,several
密集,density,identity,entity,deity
昆虫,insect,insert,inspect,insult
一条面包,loaf,loan,law,road
实验,experimental,end of term examination,experiment,gymnastics
硬的,stiff,tiff,shift,stuff
招呼,salute,slut,sauce,saute
检查,check,speck,click,cheer
开展,wage,waste,awe,wall
估计,estimate,guestimate,ultimate,intimate
最近,recently,in succession,for one's whole life,then
代表团,delegation,elevation,legation,caravan
袖子,sleeve,swerve,fleece,sleepy
王位,throne,throng,those,throb
两次,twice,swipe,wise,rice
对话,dialog,tell ,speak out of turn,empty out
抑制,restrain,refrain,restraint,retain
吃,have,hare,shade,halt
资本,capital,marital,capstan,capitate
外祖父,grandfather,father,grandmother ,mama
主人,host,moat,horn,loss
商人,merchant,enchant,tradesman,butcher
马克思主义,Marxisim,romanticism,dialectical materialism,jurisprudence
使和解,heal,veal,peal,herald
五金器具,hardware,viewpoint,pedestrian,marine
三角,triangle,tingle,wrangle,strangle
口译,interpretation,written translation,regulate,publish
差错,error,enrol,horror,juror
大量,largely,rigorous,vehement,deferent
电的,electrical,electric,midway,growth
市长,mayor,major,mason,rayon
柄,handle,hale,candle,hands
粉刷,whitewash,put,decorative,clone
攻击,attack,attach,tack,mattock
用抽机抽,pump,lamp,pulp,plump
大西洋,Atlantic,territorial waters,moat,steep slope
同情,sympathize,too bad,restrict,value one's own old broom - cherish something of little value simply because it is one's own
观念,concept,concede,concern,conceit
说谎,lie,tie,live,die
活力,energy,emerge,enemy,emery
担保物,guarantee,guaranty,guarantor,geology
牺牲者,victim,party ,innocence,survivor
堆,stack,stank,clack,smack
结,knot,lot,trot,hot
反跳,bounce,bounder,ounce,source
毁坏,ruin,shin,quiz,reign
社交界,society,socket,sobriety,satiety
信号,signal,spinal,final,sign
零,zero,perk,ego,tyro
步枪,rifle,aisle,vile,file
孪生,twin,tan,stain,toxin
相反,contrary,contract,honorary,contrast
海湾,gulf,gulp,lull,golf
吉祥,lucky,luck,pluck,lumpy
使无能,disable,durable,likable,sizable
传播,convey,convoy,honey,convex
可怕,terrific,terrify,extensive,small
丝绒,velvet,valve,pellet,valet
建议,advise,advice,adviser,revise
标本,specimen,species,specie,specimen
毒,poison,prison,potion,person
理论,theoretical,discussion,eloquent,try to defend oneself
代表,represent,present,reprehend,known
数学,mathematical,psychology,linguistics,dynamics
穿入,pierce,fierce,niece,piece
顽皮,naughty,haughty,nought,draughty
马力,horsepower,measurement,animal powered ,energy
烹调,cook,hook,too,clog
跳跃,leap,reap,leaf,near
碗柜,cupboard,wooden bench or stool,a built-in wardrobe or cupboard,deposit
预防,precaution,harmless,waterproof,harm
厌倦,tire,terse,time,mire
窗格玻璃,pane,panel,land,rank
决定,decide,decade,betide,decode
市民,citizen,non-Chinese citizen of Chinese ancestry,resident,fellow citizen or countryman
目前,presently,present,until now,time immemorial
仇敌,enemy,envy,enjoy,emery
调查者,researcher,color,cyclist,tavern
多雨,moist,gist,mist,hoist
靠近,approach,reproach,common boundary,blockage
谷物,corn,thorn,horn,coin
教育,education,adulation,equation,seduction
执行者,executive,elective,execution,execute
梦幻,vision,revision,envision,pinion
小包,parcel,parley,marvel,parse
允许进入,admission,emission,remission,mission
符合逻辑,logical,illogical,logic,comical
有害,harmful,careful,hateful,artful
汉堡包,hamburger,bread,noodles served with soy sauce,birthday noodles 
比较,comparison,companion,regarding,to grasp
箭,arrow,barrow,crow,narrow
科学,scientific,tight ,purely,no risk at all
自然界的,natural,lateral,unnatural,nature
皮革,leather,letter,nether,loathe
白的,white,quite,while,awhile
饼干,biscuit,circuit,fried cake,moon cake 
连续,continual,continue,frequently,all along
适当,appropriate,to fit well ,obligation,timely
小萝卜,radish,lavish,famish,modish
冠军,champion,mob,pioneer,typical
宣告,announce,renounce,announcer,denounce
不喜欢,objection,objector,subjection,objective
明智,sensible,ostensible,insensible,tensile
原因,cause,false,curse,louse
财政,financial,financier,postal,financial affairs
四轮运货马车,waggon,maggot,waggle,jargon
晚辈,junior,juror,janitor,union
特别受喜爱的,favourite,spittle,munition,macaroni
树枝,bough,cough,ought,bosh
舱面,deck,desk,dew,dock
事务,affair,afraid,afar,unfair
形容词的,adjective,objective,adjunctive,backwoods
抱怨,complain,complaint,to revere,self pride
肥沃,fruitful,trustful,fitful,barren
简化,simplify,simply,amplify,to make legal
领袖,leader,header,wader,ledger
球状物,bulb,bump,bun,bald
不平常的,unusual,usual,unequal,dense
殖民,settlement,battlement,native, aboriginal,Hong Kong person or people
位置,position,opposition,exposition,petition
龟,tortoise,porpoise,mortise,goldfish
十分喜悦,joyful,joyous,to the satisfaction of everyone,prostrate oneself
宣告者,announcer,announce,fence,copula
点,dot,jot,row,dolt
王子,prince,print,price,urine
姿势,gesture,feature,restore,lecture
公主,princess,process,painless,prince
英式足球,soccer,locker,sucker,solder
丰饶,productive,protective,production,inconvenient
收益,income,winsome,invoke,incise
加之,moreover,forever,to sweat,to bring about
复杂,complicated,minute,trenchant,single
正派,decent,recent,depend,deceit
巧妙,smart,apart,mart,shirt
洋葱,onion,union,potion,unison
牛,ox,mob,joy,a
粘性,sticky,sticker,stocky,stingy
印象,impression,oppression,repression,impressive
智力,mental,metal,menial,dental
退缩,shrink,shrill,shriek,stink
必然要,must,oust,just,most
有规律地,regularly,simply,myopia,jangle
反应,reaction,ration,inaction,reactor
美味,delicious,felicitous,malicious,religious
路线,route,rouge,roster,cute
纯洁,clean,glean,loan,jean
援助,assist,casuist,assign,desist
功效,efficiency,deficiency,efficient,side effect
威士忌酒,whisky,whisk,whinny,husky
引起,arouse,carouse,grouse,ruse
最少,least,eat,lease,heart
太平洋,pacific,pacifism,specific,pacifist
调味汁,sauce,saucer,ace,race
中间,midst,Aids,mast,mist
活的,living,filth,pigheaded,frightful
折短,tuck,funk,tack,buck
起源,stem,item,stump,seem
通用,available,for public use,be applicable,backup
设想,fancy,lacy,fan,fence
贫穷,poverty,puberty,overt,covert
发…的音,pronounce,pronoun,renounce,antenatal
突然袭击,surprise,sunrise,surmise,dagger
向外,outwards,outward,southwards,upwards
转变,transformation,metamorphism,gradual change,to form
反应,greet,reel,wrest,green
立刻,shortly,shorts,short,shorten
起重机,crane,erase,cane,cant
屹立,tower,cover,bowel,lower
茶托,saucer,sauce,sapper,cancer
性格,character,charter,nature,taxpayer
运输,transport,transpose,transform,transpire
模式,model,bowel,motel,vowel
任,allow,willow,alley,wallow
出生,born,undomesticated,mature,grow
革命,revolution,devolution,resolution,revelation
指状物,finger,hinder,linger,liner
惊叫,exclaim,declaim,reclaim,explain
保护,shield,shred,afield,shed
收割,harvest,earnest,arrest,harvester
耳的,aural,rural,aura,mural
通知,inform,infirm,informer,inborn
遗漏,omit,skit,kit,chit
发现,finding,to penetrate,to know,unforgettable
计,meter,mother,matter,fever
跪下,kneel,knee,keel,angel
共和国的,republican,republic,publican,rumour
漂流,drift,draft,riot,shift
保护,protective,productive,projectile,protection
使烦恼,vex,hey,verb,wed
稳定性,stability,liability,ability,stabilize
建造,erect,wreck,expect,crest
耙子,rake,race,brake,rave
喇叭,trumpet,trumpery,trump,haggle
不确定的,uncertain,ascertain,entertain,certain
小酒店,inn,fin,irk,sign
直接,direct,digest,dire,director
船舱,cabin,cable,casino,casein
社会,community,communism,immunity,communion
锯,saw,sow,mow,jaw
暴露,discover,discovery,fall through and stand exposed,close down
环行,circuit,circuitry,circus,biscuit
食欲,appetite,petite,appetizer,appetite
放射性,radioactivity,substantive,inertia,suitability
番茄,tomato,potato,cucumber,pumpkin
熟练,neat,deal,weft,sear
粗心,careless,tireless,harmless,ageless
射线,ray,ban,lad,am
分界线,boundary,bounder,foundry,underline
软的,soft,sour,loft,soot
环绕,orbit,orb,habit,trait
颏,chin,hind,chic,chef
不知道的,unknown,unknowing,bumpy,tractor
披肩,wrap,flap,chap,weep
英寸,inch,punch,milch,pinch
一月,January,canary,peak period,month
可靠,reliable,reliance,pliable,readable
阵,shower,grower,flower,shovel
正确,correct,torrent,current,collect
使激动,excite,expiate,elite,excise
接头,joint,going,point,flint
态度,attitude,altitude,aptitude,latitude
强盗,robber,jobber,rubber,robbery
下倾,descend,rescind,depend,ascend
算术,arithmetic,logarithm,knowledge,knowledge and experience
加强,strengthen,strength,to intensify,soften
房客,tenant,teat,enact,pendant
污染,pollution,solution,collusion,attractive
历史,historical,historian,hysterical,historic
结婚,marriage,carriage,barrage,appointment
口音,accent,accept,ancient,ascent
大容器,tank,lank,sink,sack
望远镜,telescope,telescopic,scrubbing brush,microscope
联系,connect,consent,contact,cornet
假装,pretend,present,prevent,portend
话筒,microphone,phonograph,lantern slides,diode
紧张,intense,intone,intensive,incense
群,throng,throne,throat,thong
能力,ability,stability,facility,utility
不喜欢,hate,ape,laze,late
用尽,exhaust,a modal particle indicating ,the curtain falls,begin shooting 
连接,join,gin,joint,loin
收款,collect,recollect,connect,collector
比例,scale,safe,scarlet,scalp
脚趾,toe,dome,no,me
英国的郡,county,court,count,jaunty
例子,example,ample,examine,trample
表明,declare,deflate,deplore,decease
经历,experience,go on holiday,stay up late or all night,pass through
失败,failure,figure,allure,to succeed
富于幽默,humorous,timorous,amorous,numerous
神经,nerve,verve,nervy,never
竞争者,rival,ritual,naval,tidal
盎司,ounce,bounce,bunch,dunce
写作,composition,composition,analogy,fictitious
汽油,gasoline,vaseline,baseline,tar
战栗,horror,borrow,error,honor
实例,sample,simple,shamble,staple
羔羊,lamb,lap,barb,lawn
流体,fluid,flood,florid,flue
薪金,salary,sally,galaxy,canary
整洁,tidy,time,city,tiny
平原,plain,pan,explain,rain
年轻,youthful,mouthful,truthful,hoary head
鞠躬,bow,oz,bomb,boa
提及,mention,section,mansion,tension
回廊,corridor,stoop,the Long Corridor at Yi He Yuan,gallery
水桶,bucket,rocket,buck,backer
便于使用,handy,bandy,hardy,tardy
滚筒,roller,solder,ruler,holler
线,thread,tread,thresh,treat
聚集,concentrate,to leave,to shake hands,to gather together
协定,agreement,conference,discussions,put up with
背诵,recite,revile,decide,remote
透露,disclose,dispose,to let know,convey
唤醒,rouse,pose,house,mouse
搁板,shelf,sell,spell,sheaf
熟练,expert,export,expel,expect
吮,suck,luck,hulk,jack
危险,dangerous,calamity,pressing,happiness
报仇,revenge,revenue,reverse,avenge
等量,equivalent,leisure,incidence,eggshell
机器人,robot,robust,rout,room
解雇,dismiss,discuss,be on the waiting list ,take office
信赖,confidence,conference,confident,confluence
一年一度,yearly,dearly,nearby,mealy
由…引起,arise,valise,pride,arrive
临时餐室,canteen,lantern,canter,welfare
优先,prior,prop,pair,pier
闪电,lightning,dart,perilous situation,lighten
外面,outward,onward,outwards,southward
回答,reply,replay,imply,mealy
矿物,mineral,literal,funeral,miner
投票,vote,dote,move,Pope
安排,arrangement,manage,deply forces,peaceful
撤退,withdraw,withdrawal,cause to perish,captive
愿望,desire,despite,deserve,retire
招待,entertain,uncertain,look upon,adopt
栋梁,pillar,pillage,collar,pallor
利息,interest,intercept,inherent,interact
广度,extent,extend,extinct,sextant
医生,physician,physicist,physical,seed
电车,tram,tramp,draw,tab
安排,layout,lout,about,deply forces
拨动,stir,smirk,weir,hair
醒来,waken,wake,waxen,awaken
商业,commercial,banking,knight,army and government
立方形的,cubic,tunic,cube,curio
小雨,sprinkle,crinkle,spindle,sprinkler
跨距,span,short range,temperature,travel route
东南,southeast,southwest,northeast,northern part
磁石,magnet,magneto,garnet,manner
种植园,plantation,plantain,gardening,pagoda
更可取的,preferable,confusion,pretension,kinswoman
预期,anticipate,to desire,reckon,outlook
控制杆,lever,waver,level,fever
古怪,funny,bunny,funky,fund
突然搜查,raid,ruin,braid,dad
葡萄树,vine,vino,visa,ride
规则,regulation,revelation,reputation,relation
资料,data,fax,record,document
抵抗,resist,resort,reside,assist
敏锐,sharp,scare,hark,harp
昂贵,expensive,extensive,expansive,pensive
翅膀,wing,wig,hint,ring
比,ratio,radio,ration,ratify
优点,advantage,failing,defensive ,benefit
映象,reflection,selection,election,repletion
表现,behave,have,berate,heave
在…里面,within,wither,thin,with
浸,dip,ship,tin,lip
数量,quantity,quantify,quality,space
凳子,stool,stall,stroll,stole
专门,exclusively,intentionally,try hard to,liberty
迷人,charming,unlimited,equilibrium,narrow
使隔离,isolate,slate,inflate,solace
友好,friendly,friend,keep sb at arm's length,linked in countless ways
怨言,complaint,compliant,complain,joke
毡毯,carpet,target,carrot,cape
机场,airport,purport,import,minimum 
委员会,commission,omission,compassion,committee
皮带,belt,pelt,bolt,net
肋,rib,grab,ride,vim
种植,cultivate,captivate,culminate,cultivator
亲爱的人,darling,earring,sapling,during
锁上,lock,sock,lose,soak
安排,settle,seethe,mettle,kettle
葡萄藤,grape,wrap,rape,tripe
大学毕业,graduate,gradual,radiate,skinflint
占领,occupation,accusation,infest,to hold
路径,track,crack,grace,thank
花圈,wreath,breath,warpath,wrath
作者,author,actor,abhor,anchor
赡养,maintain,mountain,child care,offend
庭院,court,yours,cure,cot
给…穿衣服,clothe,cloth,cloche,clot
画家,painter,pointer,paint,canter
利用,exploit,explain,export,explode
干的,dry,dot,cry,hay
删除,delete,deplete,detente,debate
化合物,compound,confound,impound,organism
倾斜,slope,snipe,lope,lose
有价值的,worthy,wordy,worth,portly
不列颠,Britain,retain,Barbados,Albania
拳击,box,fox,bum,son
普通,common,mammon,comment,coupon
各种各样,various,furious,serious,curious
相似,similar,inequality,for instance,like
制材,lumber,plumber,number,bumper
胜利,victorious,vicarious,not see,destruction
看法,viewpoint,plan,idea,prejudice
机械,automatic,automat,automate,axiomatic
刚硬,rigid,right,livid,frigid
原子能的,atomic,tonic,atom,atomize
领域,kingdom,both sides,political and government circles,system
共计,sum,sup,pub,sue
折磨,torture,posture,nurture,texture
询问,demand,remand,defend,demon
宇宙,universal,universe,heavenly body,Mars 
推断出,conclude,include,concede,conclave
一阵激动,thrill,shrill,grill,chill
数学,maths,oath,bath,math
急速,haste,hat,halve,caste
拥抱,embrace,brace,membrane,umbrage
公公,father-in-law,men,auntie,husband or wife
固体,solid,stolid,solo,wold
脊,ridge,bridge,ripe,ride
海员,seaman,seamy,semen,yeoman
虚荣心,vanity,sanity,rarity,variety
描写,describe,inscribe,ascribe,prescribe
激光,laser,later,eraser,easter
棉,cotton,motto,button,cocoon
强迫,force,forte,forge,ford
官方,official,unofficial,officiate,manifest
将…奉献,devote,demote,device,denote
器官,organic,organ,organize,organist
实习,practise,practice,precise,praise
赞成,favourable,half-believe, half-doubt,to support,get away  with it
闸,brake,crane,blade,broke
足够,sufficiently,extant,balance,saving
成色,alloy,allay,wallow,callow
出处,reference,preference,reverence,deference
控制,command,commando,commend,commander
随便,casual,usual,rascal,carnal
麻烦,troublesome,disturb,for a long time,may I ask...
局部,local,goal,vocal,loyal
进步,progressive,cause to develop,stride proudly ahead,drop
使恼怒,annoy,any,cannon,enjoy
肥皂,soap,soak,sofa,scan
厌世,pessimistic,have a gnawing regret,detest,sad
易弯曲的,flexible,legible,inflexible,hyphen
模子,mould,hold,cold,mouldy
外部,external,eternal,internal,maternal
转移,transfer,transform,transfix,gear shift
克制,restraint,restrain,restrict,to be willing to part with 
有生命力,vital,vocal,fatal,virtual
使溢出,spill,spell,still,till
令人愉快,pleasant,peasant,pheasant,pleasantly
排,rank,jack,rack,crank
观察力,observation,instinct,competitive strength,craft
有能力的,capable,capsule,curable,incapable
边界,border,corner,fodder,order
日益,increasingly,take the lead ,solely,not only
更坏,worse,core,lose,torso
屏幕,screen,screed,green,spree
词,term,firm,teem,terms
总理,premier,preview,prefer,primer
命运,fate,fare,fee,wane
买卖,deal,hear,legal,rear
赔偿,satisfaction,repay,fee,mortgage
发生地点,scene,scent,cede,ascend
冒泡,bubble,bungle,babble,buckle
幸福,welfare,warfare,law and order,good health
镭,radium,expense,rubble,manner
尽头,extreme,excrete,restrict at,destination
坚决,resolution,devolution,absolution,solution
恰恰正是,exactly,exact,ahead,estimable
仔细,careful,harmful,hateful,artful
前置词,preposition,example sentence,slang,aphorism
食品商,grocer,grocery,grace,grower
才能,talent,tale,parent,patent
野兔,hare,hearse,vase,rare
肿块,lump,lure,lap,lamp
努力,effort,extort,fort,afford
工艺,technology,high tech,nuclear technology,craft
豌豆,pea,plea,net,penal
习语,idiom,doom,idiot,idem
冒犯,offend,defend,offender,offhand
宏伟,grand,rind,rank,grid
长袜,stocking,tapestry,moribund,imitation
必然,necessarily,to pledge,soon after,one more time
渴望,anxiety,to look forward to,to dream of ,predict
羡慕,envy,envoy,enjoy,espy
通知,information,report success,to introduce,give the correct time
确信的,confident,condiment,confidence,confide
宽度,breadth,breath,breathe,wreath
有用,utility,utilize,humility,ability
完成,fulfil,full,flail,finalize a manuscript, text, etc.
习惯性的,habitual,habitat,habituate,upper class
运送,transportation,transport by lighter,banishment,carry
论证,demonstrate,foundation,resources,financial resources
使团,mission,mansion,fission,emission
叫喊,yell,reel,heel,yelp
引用,quotation,notation,rotation,nutation
馅饼,pie,pied,pew,hie
灵巧,skillful,poison,terse and forceful,poor
选择,selection,election,electron,reflection
展望,prospect,project,protect,respect
杰作,masterpiece,works ,sb.'s original handwriting or painting,monumental  work
安慰,comfort,compost,conform,comport
决心,resolve,evolve,solve,revolve
绝望,despair,repair,totally,purely
跑道,lane,land,lace,sane
基本,elementary,alimentary,elemental,worn out
堆,heap,hell,hemp,heal
视力,eyesight,force,gravity,military  might
巨大,enormous,venomous,small and weak,lit.: dragon flies, phoenix dances
催促,hurry,scurry,merry,marry
拒绝相信,deny,derv,cony,cent
公布,publication,congregation,out of control,to monopolize
卷曲,curl,lure,curb,pull
巨大,vast,pass,feast,cash
保存,preserve,reserve,presence,deserve
诙谐,humour,tumour,rumour,armour
许多,million,billion,trillion,zillion
富的,wealthy,healthy,wealth,realty
剩下,remain,retain,detain,regain
依靠,depend,defend,demand,legend
时机成熟,ripe,river,rice,vice
捣碎,pound,pour,sound,pounce
观光,sightseeing,to play mahjong or cards,to explore,guess a riddle
足够,adequate,inadequate,equate,extract
十九,nineteen,nineteenth,akin,sleep
想要,intend,extend,indent,intense
同时,meanwhile,only,possibly,as well as
永不,never,near,novel,revere
读书,reading,read newspapers,to study abroad,to imitate
责备,reproach,approach,revelation,criticize
一刻钟,quarter,quartet,quart,charter
呈现,assume,assure,resume,issue
模糊,vague,vogue,cage,argue
划线于…之下,underline,underling,underlie,undertone
度,degree,decree,regret,agree
相对,relative,relate,negative,gelatine
伪装,mask,wasp,muse,mat
专科院校,academy,academic,march,sprat
扫过,sweep,sneer,peep,jeep
草坪,lawn,awn,pan,pawn
总教堂,cathedral,terrain,grisly,break
同伴,companion,comparison,compassion,communion
识别,identify,identity,to know what's what,to apply
车辆,vehicle,gauze,bandage,train 
旗帜,banner,manner,bannal,banter
方程,equation,eruption,equator,education
女子,female,temple,fumble,finale
改造,transform,transfer,transport,start building
旗舰旗,flag,foam,foal,flaw
不同,distinction,asynchronous,peer,to be united in action
指导者,director,directory,detector,rector
区域,zone,role,mote,tone
概略,sketch,snatch,sketchy,stretch
限定,restriction,blockage,bind,hinder
麻雀,sparrow,harrow,marrow,parrot
壮丽,glorious,pretty and flirtatious,flirtatious,handsome
咖啡,coffee,toffee,coffer,coffin
意向,intention,intonation,attention,retention
迁移,removal,remove,removable,revival
使用,employment,to divert funds,usage,to discern
提高,raise,rinse,wise,rose
出现,occur,occupy,scour,our
排球,volleyball,volleyball,racket,tennis
侄女,niece,nice,nick,pieces
请教,consult,insult,consul,consent
传说,legend,emend,depend,lend
排遣,outlet,cutlet,sublet,outset
每月,monthly,month,mostly,bimonthly
边疆,frontier,territory,foul line,annexed territory
应当,ought,drought,night,oust
忍受,tolerance,tolerate,tolerant,tolerable
热心,enthusiasm,ice-cold,be sensitive about one's reputation,neither supercilious nor obsequious
恢复,resume,presume,regime,result
应该做的,competent,component,complement,competence
大胆,daring,muddled,sensitive ,stupid
全面,overall,overawe,overhaul,overact
神殿,temple,tremble,rumple,pimple
饥饿,hungry,hurry,sundry,hunger
条纹,stripe,triple,stroke,strict
回,chapter,canter,crater,chasten
头盔,helmet,helm,pellet,helper
扬声器,loudspeaker,TV,wireless,diode
浓缩,concentration,to manage,soak,pull back
直径,diameter,diabetes,diameter,blood pressure
堵塞,block,brook,flock,back
一伙人,crowd,crook,proud,cow
喷雾,spray,strap,spread,splay
除法,division,divisor,diversion,vision
外表,surface,furnace,surname,suffice
不自在的,uncomfortable,bough,ovulate,deduction
食品杂货店,grocery,crockery,grocer,grower
军人,military,solitary,militate,militant
残忍,cruel,creed,gruel,fuel
使摆脱,rid,guy,woodman,unlock
口译,interpret,internet,modern language version,to extract
使专心,absorb,abhor,absurd,abort
油炸,fry,pry,fly,fro
人,human,humane,hum,hymen
青少年,teenager,teenage,good-for-nothing or queer character,adult
使振作,cheer,her,cheery,heed
编者,editor,edition,creditor,suitor
框架,frame,flame,ramp,fate
碳,carbon,cabin,cartoon,carol
手迹,handwriting,masterpiece,Chinese materia medica,A Dream of Red Mansions
鹰,hawk,hack,thaw,hank
外科医师,surgeon,dudgeon,burgeon,surgery
发白热光,glow,globe,blow,how
魔法,magic,malice,music,agio
不仁慈的,unkind,unwind,kind,unbend
管弦乐队,orchestra,orchestral,orchestra,band
器具,appliance,alliance,minerals,hole puncher
错,wrong,along,song,wring
瘸的,lame,base,same,jam
敏捷,quick,slick,lick,sick
法典,code,coat,coke,diode
地球,globe,slope,glower,lope
忘记,forget,forte,forge,fidget
春天,spring,springy,bring,syringe
男的,male,age,mole,sale
一套,battery,batty,barter,pattern
盥洗室,toilet,triplet,tilt,toil
易碎,delicate,dedicate,delegate,deviate
公路,highway,suspension bridge,traffic lane,ropeway
星期二,Tuesday,Thursday,middle third of a month,Monday
帐目,account,amount,accost,accent
保守,conservative,counter-revolutionary,unfair,revolution
文体,stype,the point at issue,tint,Hindi 
两星期,fortnight,foresight,forthright,wan
进步,progress,prowess,process,profess
荫蔽,shade,glade,shaft,slate
清晰,clear,clean,claw,hear
害怕,fearful,tearful,earful,waken
乐观,optimistic,optimist,filial piety,uninhibited
精炼,refine,define,refinery,revise
投稿,contribute,contrite,lies in,valuable
一致,sympathy,all things tends in one direction,the corresponding time period ,subordinate
不透水的,waterproof,waterproof,taboo against using the personal names of emperors or one's elders,to avert
山,mountain,fountain,contain,maintain
记得,remember,member,December,to remember
离题,wander,pander,wane,wonder
印刷,print,plinth,grant,hint
忍受,endure,ensure,ensue,enquire
斑点,mark,hark,hack,cask
任务,assignment,a  mission,supremacy,human rights
地震,earthquake,freeze injury,fire ,plant diseases and insect pests
尝试,attempt,tempt,attest,vegetables
真诚,sincere,singer,insincere,since
展望,outlook,outdoor,outwork,observation
适合,suit,flit,suck,unit
被,quilt,quest,guilt,quirk
装璜,decorate,decimate,desolate,detonate
蜡烛,candle,cable,wangle,kindle
